Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.003320915,-4.21E-05,0.014528051,0,0,0,4.380516299,0.03370055,2.22E-05,-0.00027185,0.01701751,-1.20E-04,0.03500408,0,0,0,0,0,0,package://hopper_rev08/meshes/base_link.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://hopper_rev08/meshes/base_link.STL,,BASE ASSY REV08-1,origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 0,0.005322548,0.031291932,0.000492239,0,0,0,0.586954631,0.00042395,-8.67E-05,1.45E-05,0.00083862,-7.18E-06,0.00063227,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 0.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 0.STL,,LINK 0 ASSY REV08-1,origin_joint0,Axis0-2,Joint 0,revolute,0,0,0,0,0.5236,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 1,0.133101646,0.006625974,-1.77E-09,0,0,0,0.063147382,3.01E-06,2.70E-06,0.00E+00,0.00074326,0.00E+00,0.00074371,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 1.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 1.STL,,LINK 1 ASSY REV08-1,origin_joint1,Axis1,Joint 1,revolute,0.1,0,0,3.141592654,1.076831518,3.141592654,Link 0,0,-1,0,0,0,-0.7597,1.8295,,,,,,,,
Link 2,0.018141341,-0.030064498,-0.000292456,0,0,0,0.619414111,0.00043903,2.53E-04,-3.19E-05,0.0028067,-4.48E-06,0.00262186,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 2.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 2.STL,,LINK 2 ASSY REV08-1,origin_joint2,Axis0-2,Joint 2,revolute,0,0,0,3.1416,0.55323,3.1416,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 3,0.101438165,-0.002509982,-0.014853286,0,0,0,0.124857597,2.21E-05,2.88E-05,-4.54E-05,0.00135609,-1.25E-06,0.0013501,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 3.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://hopper_rev08/meshes/Link 3.STL,,LINK 3 ASSY REV08-1,origin_joint3,Axis3,Joint 3,revolute,0.27,0,0,-3.141592654,-1.076831517,3.141592654,Link 2,0,-1,0,0,0,-1.8295,0.7597,,,,,,,,
rw0,0.002509973,-1.34E-09,-0.002509972,0,0,0,0.712386931,0.00277087,0.00E+00,0.0008706,0.00190084,0.00E+00,0.00277087,0,0,0,0,0,0,package://hopper_rev08/meshes/rw0.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://hopper_rev08/meshes/rw0.STL,,RW0 ASSY REV08-1,Origin_joint_rw0,Axis_rw0,joint_rw0,continuous,0.050912,-0.13154,0,1.5708,0,1.5708,base_link,0.70711,0,-0.70711,,,,,,,,,,,,
rw1,0.073857449,-1.34E-09,0.073857448,0,0,0,0.712386931,0.00277087,0.00E+00,-0.0008706,0.00190084,0.00E+00,0.00277087,0,0,0,0,0,0,package://hopper_rev08/meshes/rw1.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://hopper_rev08/meshes/rw1.STL,,RW1 ASSY REV08-1,Origin_joint_rw1,Axis_rw1,joint_rw1,continuous,-0.025456,0.055172,0,1.5708,0,1.5708,base_link,-0.70711,0,-0.70711,,,,,,,,,,,,
rwz,2.24E-09,0.023142484,-1.52E-09,0,0,0,0.356354012,0.00043511,0.00E+00,0.00E+00,0.0008373,0.00E+00,0.00043511,0,0,0,0,0,0,package://hopper_rev08/meshes/rwz.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://hopper_rev08/meshes/rwz.STL,,RWZ ASSY REV08-1,Origin_joint_rwz,Axis_rwz,joint_rwz,continuous,-0.076,0,0.0515,1.570796327,0,1.570796327,base_link,0,-1,0,,,,,,,,,,,,
