Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0033904551236681,2.01175227818367E-05,0.0165845358018971,0,0,0,4.7828220563841,0.00403695378673249,-3.62904611186374E-06,0.000181371071322505,0.00524134884989508,6.42651713008798E-06,0.0037477949793726,0,0,0,0,0,0,package://hopper_rev09/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hopper_rev09/meshes/base_link.STL,,BASE ASSY REV09-1,origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 0,0.00533298750981788,0.0313630772301307,0.000493209394939516,0,0,0,0.585807373885291,0.000227450651738696,1.53797540461375E-05,-8.48627409122185E-06,0.000542253205909839,1.08266324119401E-06,0.000337811683144689,0,0,0,0,0,0,package://hopper_rev09/meshes/Link 0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hopper_rev09/meshes/Link 0.STL,,LINK 0 ASSY REV09-1,origin_joint0,Axis0-2,Joint 0,revolute,0,0,0,0,0.523598775598299,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 1,0.116031386986065,0.00693719848430448,0.0697691592445978,0,0,0,0.0809765946737085,0.000154764250027393,2.45742668183085E-12,-0.00025128026177021,0.000575385419066409,-6.75718506791511E-13,0.000421568664831271,0,0,0,0,0,0,package://hopper_rev09/meshes/Link 1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hopper_rev09/meshes/Link 1.STL,,LINK 1 ASSY REV09-1,origin_joint1,Axis1,Joint 1,revolute,0.1,0,0,-3.14159265358979,0.505826008429944,3.14159265358979,Link 0,0,-1,0,0,0,-0.7597,1.8295,,,,,,,,
Link 2,0.0385293506057193,-0.0274403245603325,-7.28006543603034E-05,0,0,0,0.734902377684508,0.000249183690679803,-3.64821735516121E-06,5.99874903328164E-05,0.00272626632220471,7.05852172252969E-09,0.0025027134961882,0,0,0,0,0,0,package://hopper_rev09/meshes/Link 2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hopper_rev09/meshes/Link 2.STL,,LINK 2 ASSY REV09-1,origin_joint2,Axis0-2,Joint 2,revolute,0,0,0,3.14159265358979,0.523598775598306,3.14159265358979,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Link 3,-0.00096013225385333,1.19207215622385E-05,-0.142163027382135,0,0,0,0.108053074640562,0.000389507294892826,2.0877211229001E-07,1.36817326630028E-05,0.00039718722729753,-1.63429778221469E-06,1.36148548407447E-05,0,0,0,0,0,0,package://hopper_rev09/meshes/Link 3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hopper_rev09/meshes/Link 3.STL,,LINK 3 ASSY REV09-1,origin_joint3,Axis3,Joint 3,revolute,0.27,0,0,-3.14159265358979,0.441767558289077,-3.14159265358979,Link 2,0,-1,0,0,0,-1.8295,0.7597,,,,,,,,
rw0,0.00252831847155865,-1.31056414952576E-09,-0.00252831711451848,0,0,0,0.710071298141227,0.00266424528769832,1.32410998715932E-11,-0.000872537148608607,0.00179170800683662,4.36237508666819E-12,0.002664245284981,0,0,0,0,0,0,package://hopper_rev09/meshes/rw0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hopper_rev09/meshes/rw0.STL,,RW0 ASSY REV08-1,Origin_joint_rw0,Axis_rw0,joint_rw0,continuous,0.0509116970842678,-0.131539114082235,0,1.5707963267949,0,1.5707963267949,base_link,0.70710678118654,0,-0.707106781186555,,,,,,,,,,,,
rw1,0.0738392240897933,-1.30681966451641E-09,0.0738392227417098,0,0,0,0.710071298067979,0.00266424528444578,4.47631735085124E-12,0.000872537148756898,0.00179170800713326,-1.33618423617129E-11,0.00266424528714435,0,0,0,0,0,0,package://hopper_rev09/meshes/rw1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hopper_rev09/meshes/rw1.STL,,RW1 ASSY REV08-1,Origin_joint_rw1,Axis_rw1,joint_rw1,continuous,-0.025456,0.055172,0,1.5708,0,1.5708,base_link,-0.70711,0,-0.70711,,,,,,,,,,,,
rwz,1.3912E-09,0.025902,1.0711E-09,0,0,0,0.32953,0.00039874,-3.2294E-13,-2.1685E-13,0.00078803,-9.517E-13,0.00039874,0,0,0,0,0,0,package://hopper_rev09/meshes/rwz.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hopper_rev09/meshes/rwz.STL,,RWZ ASSY REV08-1,Origin_joint_rwz,Axis_rwz,joint_rwz,continuous,-0.076,0,0.0515,1.5708,0,1.5708,base_link,0,-1,0,,,,,,,,,,,,
